AccountName,YearJoined,Area,PhotosPosted,ReelsUploaded,CommentsAdded,Followers,TotalViews,TotalLikes,BlueTick
Fashionista,2016,Fashion,454,50,968,15,951,9,Not Verified
FoodieDelights,2017,Food & Dining,69,30,1402,8,634,91,Not Verified
TravelExplorer,2015,Travel,379,40,1543,20,648,98,Not Verified
FitnessFanatic,2018,Fitness,62,20,384,12,718,73,Not Verified
ComedyCafe,2014,Comedy,118,60,1492,30,697,72,Verified
BeautyGuru,2019,Beauty,229,15,1182,10,345,65,Not Verified
GamerZone,2013,Gaming,165,100,709,50,858,35,Verified
ArtisticVisions,2020,Art & Design,310,10,714,6,124,3,Not Verified
MusicMania,2012,Music,296,80,1700,35,373,57,Verified
TechTrends,2015,TechNot Verifiedlogy,293,50,718,18,262,38,Not Verified
CuisineCraft,2016,Food & Dining,311,25,1122,9,347,68,Not Verified
Wanderlust,2014,Travel,188,60,1776,25,727,88,Not Verified
FitFusion,2017,Fitness,249,30,1677,14,620,68,Not Verified
LaughLab,2013,Comedy,347,70,992,28,407,47,Verified
MakeupMaven,2018,Beauty,348,20,454,12,360,78,Not Verified
GameGeek,2012,Gaming,289,120,1954,55,552,31,Verified
ArtisticAesthetics,2021,Art & Design,183,12,147,6.5,273,47,Not Verified
MelodyMasters,2011,Music,142,90,1616,38,404,81,Verified
TechSavvy,2015,TechNot Verifiedlogy,139,60,1505,20,515,68,Not Verified
TasteBuds,2016,Food & Dining,310,30,206,8.5,154,67,Not Verified
ExploreEarth,2014,Travel,259,50,684,22,461,63,Not Verified
MuscleMania,2017,Fitness,509,25,889,13,731,80,Not Verified
JokeJunction,2013,Comedy,108,80,1312,26,462,45,Not Verified
GlamGoddess,2019,Beauty,536,18,615,11,440,31,Not Verified
GamerGrid,2011,Gaming,566,150,1353,60,899,67,Verified
CreativeCanvas,2020,Art & Design,415,15,275,7,873,87,Not Verified
HarmonyHits,2012,Music,552,100,728,40,711,22,Verified
InNot VerifiedvateTech,2016,TechNot Verifiedlogy,365,70,214,22,753,23,Not Verified
CulinaryCharms,2015,Food & Dining,146,35,651,9.5,475,62,Not Verified
AdventureAwaits,2013,Travel,499,60,127,24,999,91,Not Verified
IronAthlete,2018,Fitness,381,30,1206,15,596,12,Not Verified
ComicCentral,2014,Comedy,72,70,1019,30,985,56,Verified
GlowGuru,2020,Beauty,504,20,1961,13,701,47,Not Verified
GamingGlory,2011,Gaming,133,180,1825,65,139,46,Verified
VisualVirtuoso,2021,Art & Design,161,18,808,7.5,182,60,Not Verified
RhythmRaves,2012,Music,326,90,723,42,118,24,Verified
DigitalDomain,2015,TechNot Verifiedlogy,431,80,1623,24,632,51,Not Verified
TastyTales,2016,Food & Dining,393,25,1737,10,185,70,Not Verified
ExploreEscapes,2014,Travel,262,60,448,26,647,68,Not Verified
PowerPulse,2017,Fitness,260,35,926,16,830,80,Not Verified
LaughLounge,2014,Comedy,440,100,205,32,731,82,Verified
BeautyBlast,2019,Beauty,67,22,1818,14,193,36,Not Verified
GamerGalaxy,2011,Gaming,349,200,1163,70,302,26,Verified
DesignDynamo,2020,Art & Design,467,20,145,8,940,21,Not Verified
MelodyMagic,2012,Music,416,95,203,45,734,43,Verified
SmartSolutions,2016,TechNot Verifiedlogy,62,90,1125,26,333,76,Not Verified
SavorySensation,2015,Food & Dining,591,30,1347,11,888,37,Not Verified
WanderWonders,2013,Travel,65,70,1998,28,854,53,Verified
StrongSquad,2018,Fitness,522,30,878,17,964,41,Not Verified
ComicCarnival,2014,Comedy,439,90,1995,34,579,5,Verified
GlowingGoddess,2020,Beauty,421,25,1764,15,936,63,Not Verified
GameGenius,2011,Gaming,343,180,779,75,763,27,Verified
DigitalDreams,2021,Art & Design,405,18,1203,8.5,436,74,Not Verified
HarmonicHues,2012,Music,526,100,1826,48,212,68,Verified
TechTitans,2015,TechNot Verifiedlogy,138,80,1640,28,257,85,Verified
DeliciousDishes,2016,Food & Dining,534,35,1758,12,346,97,Not Verified
GlobalGetaway,2014,Travel,463,60,1538,30,494,94,Verified
FitAndFabJourney,2017,Fitness,303,40,1038,18,176,67,Not Verified
ComicClub,2013,Comedy,519,110,969,36,934,89,Verified
LuxuryLashes,2019,Beauty,306,20,340,16,278,8,Not Verified
GamerGlory,2011,Gaming,459,220,1220,80,399,72,Verified
DesignDiva,2020,Art & Design,117,22,291,9,270,29,Not Verified
MelodicMusings,2012,Music,537,95,208,50,552,4,Verified
TechieTalk,2015,TechNot Verifiedlogy,71,100,1748,30,183,44,Verified
CulinaryCreations,2016,Food & Dining,453,40,1795,13,239,27,Not Verified
WanderWisdom,2014,Travel,216,70,335,32,383,53,Verified
MuscleMastery,2018,Fitness,119,35,1973,19,567,90,Not Verified
ComedyTimes,2014,Comedy,159,120,805,38,860,13,Verified
BeautyBuzz,2020,Beauty,480,25,481,17,647,78,Not Verified
GamingGuru,2011,Gaming,90,240,1833,85,911,72,Verified
ArtisticAuras,2021,Art & Design,448,20,1688,9.5,973,39,Not Verified
MelodyMakers,2012,Music,255,100,471,55,959,25,Verified
